地方自治法に基づく法的な権利のうち，市町村の区域内に住所があれば日本国民でなくても有する権利として，適切なものを 1 つ選びなさい。,0,市町村からサービスを受ける権利,市町村の選挙に参加する権利,市町村の条例の制定を請求する権利,市町村の事務の監査を請求する権利,市町村議会の解散を請求する権利,正解:市町村からサービスを受ける権利,あ
日本の人口に関する次の記述のうち，適切なものを1つ選びなさい。(注)「人口推計」とは，「人口推計− 2015 年（平成 27 年）7 月報−（総務省統計局）」のことである。,0,「人口推計」によれば，2011 年（平成 23 年）以降，毎年 10 月 1 日現在の総人口は減少してきている。,現在の人口置換水準は，合計特殊出生率 1.80 である。,合計特殊出生率の低下の主な原因として，若い女性の海外転出がある。,2000 年（平成 12 年）に高齢社会になった。,2015 年（平成 27 年）に団塊の世代が後期高齢者になった。,正解:「人口推計」によれば，2011 年（平成 23 年）以降，毎年 10 月 1 日現在の総人口は減少してきている。,い
市町村国民健康保険の被保険者に関する次の記述のうち，適切なものを1つ選びなさい。,4,日本国籍があれば，住所がなくても被保険者になる。,被保険者証の返還を求められた世帯主は，民生委員に当該被保険者証を返還しなければならない。,世帯主は，世帯主以外の世帯員の被保険者証の交付を求めることはできない。,健康保険法の被保険者であった者が被保険者になることはない。,生活保護の受給者（停止中の者を除く）は，被保険者になることはない。,正解:生活保護の受給者（停止中の者を除く）は，被保険者になることはない。,う
2015 年（平成 27 年）4 月に施行された介護保険制度の改正内容として，正しいものを1つ選びなさい。,1,低所得者の保険料負担を引き上げた。,介護老人福祉施設の新規入所者を原則として要介護 3 以上の者にした。,予防給付の訪問介護（ホームヘルプサービス)・通所介護（デイサービス）を都道府県が実施する事業に移行した。,施設利用者の食費・居住費を補う補足給付の対象者を拡大した。,一定以上の所得のある利用者の自己負担割合を 3 割に引き上げた。,正解:介護老人福祉施設の新規入所者を原則として要介護 3 以上の者にした。,え
介護保険法における保険者として，正しいものを1つ選びなさい。,4,全国健康保険協会,年金保険者,国,都道府県,市町村及び特別区,正解:市町村及び特別区,お
介護保険サービスの利用契約に関する次の記述のうち，最も適切なものを1つ選びなさい。,1,利用者が認知症（dementia）のため，別居している娘に契約内容を電話で説明して，サービス利用契約について同意を得た。,利用者と家族に重要事項説明書を渡して，サービス内容を説明し，同意を得て，利用者と契約書を取り交わした。,利用者と契約書を取り交わした後で，サービスや職員配置等を記載した重要事項説明書を渡して，提供するサービスの内容を説明した。,利用者が高齢なので，別居している娘に重要事項説明書と契約書を送付し，返信用封筒も入れて，返送を依頼した。,利用者が認知症（dementia）で理解が困難と思われたので，利用者と仲の良い隣人に説明して，契約書を書いてもらった。,正解:利用者と家族に重要事項説明書を渡して，サービス内容を説明し，同意を得て，利用者と契約書を取り交わした。,か
障害者基本法に関する次の記述のうち，正しいものを1つ選びなさい。（注1)「障害者基本計画」とは，「障害者のための施策に関する基本的な計画」のことである。(注2)「障害者差別解消法」とは，「障害を理由とする差別の解消の推進に関する法律」のことである。(注2)「障害者差別解消法」とは，「障害を理由とする差別の解消の推進に関する法律」のことである。,1,障害者は，自助努力によって社会的障壁を解消しなければならない。,政府は，「障害者基本計画」を策定しなければならない。,都道府県は，障害者政策委員会を設置しなければならない。,「障害者差別解消法」の制定に伴って，差別の禁止に関する条文は削除された。,基本的施策に防災及び防犯に関する記述はない。,「障害者差別解消法」とは，「障害を理由とする差別の解消の推進に関する法律」のことである。,正解:政府は，「障害者基本計画」を策定しなければならない。,き
Ｃさん（50 歳，女性）は，身体障害者手帳 2 級を所持している。最近，日常の家事が十分にできなくなったので，「障害者総合支援法」に基づく居宅介護を利用したいと考えて，知り合いの介護福祉士に尋ねた。介護福祉士の対応に関する次の記述のうち，最も適切なものを1つ選びなさい。（注）　「障害者総合支援法」とは，「障害者の日常生活及び社会生活を総合的に支援するための法律」のことである。,1,身体障害者更生相談所で医学的判定を受けなければならないことを説明する。,障害支援区分の認定を受ける必要があることを説明する。,すぐに居宅介護事業所とサービスの利用契約書を取り交わすように説明する。,医師の意見書を持って相談支援事業所に行くように説明する。,Ｃさんのサービス利用の希望を介護支援専門員（ケアマネジャー）に伝えておくと説明する。,正解:障害支援区分の認定を受ける必要があることを説明する。,く
指定障害福祉サービス事業者に関する次の記述のうち，適切なものを1つ選びなさい。,2,指定障害福祉サービス事業者の指定は，厚生労働大臣が行う。,指定障害福祉サービス事業所に配置する人員の基準は，事業者の事情に応じて各事業者が決めることができる。,指定障害福祉サービス事業者は，サービスの質の評価を行い，サービスの質の向上に努めなければならない。,指定障害福祉サービス事業者の指定に有効期間は設定されていない。,指定障害福祉サービス事業者は，事業所を運営している市町村内での広告が義務づけられている。,正解:指定障害福祉サービス事業者は，サービスの質の評価を行い，サービスの質の向上に努めなければならない。,け
知的障害のあるＤさん（40 歳，男性）は，就労移行支援事業所を利用して，現在，Ｕ株式会社に勤務している。ある時，就労移行支援事業所に勤務するＥ介護福祉職は，Ｄさんから，職場で上司から 虐待を受けているという相談を受けた。Ｅ介護福祉職の対応として，最も適切なものを1つ選びなさい。,3,我慢して職場を辞めないように助言した。,警察に通報した。,地域包括支援センターに報告した。,Ｄさんの勤務先がある市町村に通報した。,Ｕ株式会社に出向いて， 虐待をやめるように申し入れた。,正解:Ｄさんの勤務先がある市町村に通報した。,こ
医療法上の医療提供施設に関する次の記述のうち，正しいものを 1 つ選びなさい。,0,病院は，20 人以上の入院施設がなくてはならない。,歯科を診療科目とする病院を開設することはできない。,診療所は，29 人以下の入院施設がなくてはならない。,調剤を実施する薬局は，医療法上の医療提供施設ではない。,介護老人保健施設とは，療養病床を有する病院のことをいう。,正解:病院は，20 人以上の入院施設がなくてはならない。,さ
