生活支援に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,4,支援者の価値観を優先して支援する。,生活全体よりも，生活動作を中心にした視点で支援する。,その人らしい生活よりも，安静を重視した生活を送れるように支援する。,利用者の生活習慣よりも，支援者側の規則を大切にして支援する。,信頼関係に基づいて支援する。,正解:信頼関係に基づいて支援する。,あ
施設への入所に伴う高齢者の心身の負担を軽減するための方策として，最も適切なものを 1 つ選びなさい。,4,家族の訪問を控えてもらう。,居室に新しい家具を入れる。,広い食堂で過ごしてもらう。,施設の生活時間に合わせてもらう。,少しでも早くなじみの職員ができるようにする。,正解:少しでも早くなじみの職員ができるようにする。,い
布団についた，ダニの死骸や糞などのダニアレルゲンを除去する方法として，最も適切なものを 1 つ選びなさい。,1,陰干しする。,掃除機で吸い取る。,強く叩たたく。,表面を絞ったタオルで拭く。,布団カバーを取り替える。,正解:掃除機で吸い取る。,う
高齢者の整容支援の注意点として，最も適切なものを 1 つ選びなさい。,2,整髪料の使用は避ける。,目やにを拭き取るときは，目尻から目頭に向かって拭く。,爪を切るときは，少しずつ切る。,耳垢（耳あか）が固いときは，ピンセットを使って除去する。,義歯は乾燥させてからケースに保管する。,正解:爪を切るときは，少しずつ切る。,え
介護を必要とする高齢者の衣服と，その支援に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,2,片麻痺の高齢者には，支援者が着脱させやすい前あきの上着の購入を勧める。,左片麻痺がある場合は，左半身から脱ぐように勧める。,生活のリズムを保つために，昼と夜とで衣服を替えるように勧める。,衣服は気候に合わせて支援者が選ぶ。,季節に関係なく，保温性よりも通気性を重視した衣類を勧める。,正解:生活のリズムを保つために，昼と夜とで衣服を替えるように勧める。,お
視覚障害者の外出支援に関する次の記述のうち，適切なものを 1 つ選びなさい。,4,タクシーに乗るときは，支援者が先に乗って誘導する。,電車を待つときは，点字ブロックの上で待つように誘導する。,狭い通路は，後ろから誘導する。,雨の日は，フードつきのレインコートの着用を勧める。,利用者から一時離れるときは，柱や壁に触れる位置まで誘導する。,正解:利用者から一時離れるときは，柱や壁に触れる位置まで誘導する。,か
パーキンソン病（Parkinson	disease）の姿勢反射障害のある人の歩行介護として，最も適切なものを 1 つ選びなさい。,2,曲がり角では，勢いをつけて曲がってもらう。,曲がり角では，直角に曲がってもらう。,一度足を引いてから歩きだしてもらう。,支援者のペースに合わせて歩きだしてもらう。,階段よりスロープを歩いてもらう。,正解:一度足を引いてから歩きだしてもらう。,き
嚥下機能の低下している人のおやつとして，最も適切なものを 1 つ選びなさい。,4,ラスク,もなか,焼き芋,カステラ,ゼリー,正解:ゼリー,く
骨粗鬆症（osteoporosis）予防に必要なビタミンＫ（vitamin	K）を多く含む食品として，最も適切なものを 1 つ選びなさい。,4,牛乳,卵,豚肉,にしん,納豆,正解:納豆,け
Ａさん（78 歳，女性）は，一人暮らしをしている。毎夕食の配食サービスと週 2 回の訪問介護（ホームヘルプサービス）を利用している。夏のある日，訪問介護員（ホームヘルパー）が訪ねると，唇が乾燥しており，昨日からの水分摂取はお茶を 3 杯（450 ml 程度）ということであった。排尿回数も少なく，尿の色を尋ねるといつもより濃いと言っていた。Ａさんに勧める飲物として，最も適切なものを 1 つ選びなさい。,3,温めた牛乳,冷たいお茶,バナナジュース,経口補水液,野菜ジュース,正解:経口補水液,こ
下肢筋力が低下して介護を必要とする人に適した浴室改修に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,0,浴室の入口は引き戸にする。,縦に長く浅めの洋式の浴槽にする。,浴槽の縁（エプロン部分）は厚みを 20 cm にする。,床から浴槽の縁までの高さは 20 cm にする。,浴室と脱衣室の段差は 10 cm にする。,正解:浴室の入口は引き戸にする。,さ
消化管ストーマを造設している人の入浴に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,2,排便のあった日だけ入浴する。,回腸ストーマの場合は，食後 1 時間以内に入浴する。,装具を外して入浴できる。,ストーマ（stoma）部分は，石鹸をつけず，こすりながら洗う。,公衆浴場の利用は避ける。,正解:装具を外して入浴できる。,し
入浴時のヒートショックに関する次の記述のうち，最も適切なものを 1 つ選びなさい。,2,高血圧の人は，ヒートショックを起こしにくい。,ヒートショックは，夏に起こりやすい。,ヒートショック予防として，浴室・脱衣室と居室との温度差を小さくする。,ヒートショック予防として，湯の温度設定は高めにする。,ヒートショックは，入浴前に起こりやすい。,正解:ヒートショック予防として，浴室・脱衣室と居室との温度差を小さくする。,す
排泄介護に関する次の記述のうち，最も適切なものを 1 つ選びなさい。,3,ベッドで尿器を使用する場合，ベッドの足元を上げる。,差し込み便器の開口部の中央に，仙骨が来るようにする。,テープ止めタイプの紙おむつの中に，尿取りパッドを複数当てる。,自己導尿を行う場合，座位姿勢で行えるように支援する。,トイレにＬ字手すりを設置する場合，横手すりは車いすの座面の高さに合わせる。,正解:自己導尿を行う場合，座位姿勢で行えるように支援する。,せ
